mode,spatial,singular,m_c,m_h,T_c,T_h,vel_ratio
11,0.030418443427139022,43.75937479317462,538.8279,3.72136,34.95,88.13,144.79327450179505
12,0.02096438301838589,41.45133848449951,538.8279,3.72136,34.95,88.13,144.79327450179505
13,0.037491120416572266,40.7539153015753,538.8279,3.72136,34.95,88.13,144.79327450179505
14,0.02104879541247783,38.029308612829226,538.8279,3.72136,34.95,88.13,144.79327450179505
15,0.12007900338930347,33.434145074021096,538.8279,3.72136,34.95,88.13,144.79327450179505
16,0.05447623469425111,32.61835640488698,538.8279,3.72136,34.95,88.13,144.79327450179505
17,0.007699003443040852,31.46488076911272,538.8279,3.72136,34.95,88.13,144.79327450179505
18,0.052050608863667545,30.834384930492714,538.8279,3.72136,34.95,88.13,144.79327450179505
19,0.045732139811317137,28.00161684502537,538.8279,3.72136,34.95,88.13,144.79327450179505
0,0.025429009551448344,115.81914777906809,538.8279,3.72136,34.95,88.13,144.79327450179505
1,0.022469334448950645,98.23495576189791,538.8279,3.72136,34.95,88.13,144.79327450179505
2,0.028307950707530925,94.15813785883505,538.8279,3.72136,34.95,88.13,144.79327450179505
3,0.05884073413809831,85.88682557260027,538.8279,3.72136,34.95,88.13,144.79327450179505
4,0.005633942683639615,71.88331875935755,538.8279,3.72136,34.95,88.13,144.79327450179505
5,0.007883174295539067,68.1959900601232,538.8279,3.72136,34.95,88.13,144.79327450179505
6,0.020777508300152153,60.824645487354445,538.8279,3.72136,34.95,88.13,144.79327450179505
7,0.02318858070436564,60.44765177359051,538.8279,3.72136,34.95,88.13,144.79327450179505
8,0.025125782656578603,51.69931897119121,538.8279,3.72136,34.95,88.13,144.79327450179505
9,0.025773890340282154,50.10992215579909,538.8279,3.72136,34.95,88.13,144.79327450179505
10,0.03486663947995462,47.6196927277802,538.8279,3.72136,34.95,88.13,144.79327450179505
11,0.009228252556150321,43.75937479317462,538.8279,3.72136,34.95,88.13,144.79327450179505
12,0.00866848543191092,41.45133848449951,538.8279,3.72136,34.95,88.13,144.79327450179505
13,0.015145526859348722,40.7539153015753,538.8279,3.72136,34.95,88.13,144.79327450179505
14,0.00917555426482313,38.029308612829226,538.8279,3.72136,34.95,88.13,144.79327450179505
15,0.05972877443761253,33.434145074021096,538.8279,3.72136,34.95,88.13,144.79327450179505
